id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G2V,0.656,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,,
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,0.03659716270801555,0.5077238184659449,0.0000006577952018,-0.000000790003892,Alp,21,And,1,676,,114.49855346901883,Alp,2.083,2.063
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.040025852830323276,1.0323584043676326,0.0000025374663227,-0.000000874700842,Bet,11,Cas,1,744,,30.06076302628229,Bet,2.303,2.263
1065,1067,886,39,,88Gam Peg,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4.0,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,0.00000504,0.00000303,-0.00000356,0.05775241337962613,0.2650037404493388,0.000000022786243,-0.000000039948647,Gam,88,Peg,1,1065,,926.4031007363994,Gam,2.846,2.816
1472,1475,1326,,Gl 15A,,Groombridge 34,0.306174,44.022954,3.5873,2888.92,410.58,12.0,8.09,10.316,M1V,1.56,2.571275,0.20667,2.493057,-0.00000017,0.00005039,0.00001366,0.08015620544457767,0.7683454902950787,0.0000140058793803,0.000001990548009,,,And,1,1472,Gl  15,0.006510284984348607,GX,8.125,8.065
1544,1547,1502,,,,Citadelle,0.321407,14.054755,159.2357,75.0,-17.55,-9.5,8.36,2.35,K0,0.92,153.922235,12.982322,38.670219,-0.00001098,0.00005717,-0.0000155,0.08414413758977865,0.245301757508,0.0000003636102604,-0.0000000850848,,,Psc,1,1544,,9.999999999999998,,,
2076,2081,2261,99,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,232.76,-353.64,75.0,2.4,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,0.00002323,0.00003218,-0.00008456,0.11468290295782503,-0.7383786688321162,0.0000011284523229,-0.000001714495099,Alp,,Phe,1,2076,,64.44659847416881,,,
2241,2247,,,,,Felixvarela,0.476199,-16.226344,35.7015,-354.87,-228.26,0.0,9.62,6.857,K5V,1.128,34.013301,4.262471,-9.976163,-0.00000332,-0.00006231,-0.00003793,0.12466847998980336,-0.28320313006243625,-0.0000017204583082,-0.000001106635707,,,Cet,1,2241,,0.15747078772898468,,9.675,9.565
2914,2920,3360,153,,17Zet Cas,Fulu,0.616188,53.896909,181.8182,17.77,-9.15,2.0,3.69,-2.608,B2IV,-0.196,105.743565,17.207892,146.901502,0.00000511,0.0000167,-0.0000031,0.16131768182467154,0.9406785238460538,0.000000086151391,-0.000000044360451,Zet,17,Cas,1,2914,,962.0552191862149,,,
3172,3179,3712,168,,18Alp Cas,Schedar,0.675116,56.537331,69.979,50.36,-32.17,-4.0,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,0.00000374,0.00001802,-0.00000943,0.17674488133148336,0.9867625763100912,0.0000002441521695,-0.000000155964561,Alp,18,Cas,1,3172,,542.0008904016238,Alp,2.25,2.23
3413,3419,4128,188,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,0.00000782,0.00003545,0.00000025,0.19019464223046095,-0.31392547040265245,0.000001128597767,0.000000158582554,Bet,16,Cet,1,3413,,116.09138701261821,,,
3472,3479,4208,,GJ 9024,,Cocibolca,0.74073,-26.51568,32.3729,313.52,150.0,55.4,7.78,5.229,G5V,0.664,28.425119,5.582477,-14.452867,0.00005058,0.00006007,-0.00000423,0.1939227208936987,-0.46278592082045,0.0000015199878513,0.00000072722052,,,Scl,1,3472,,0.7053424142580965,,,
3759,3765,4628,222,Gl 33,,96 G. Psc,0.806382,5.280615,7.4549,758.04,-1141.22,-10.0,5.74,6.378,K2V,0.89,7.258368,1.555495,0.686093,-0.00001198,0.00002545,-0.00004201,0.21111031896421073,0.09216411608150625,0.0000036750816241,-0.000005532790685,,,Psc,1,3759,,0.24479356661960658,,,
3814,3821,4614,219,Gl 34A,24Eta Cas,Achird,0.81826,57.815187,5.9531,1087.11,-559.65,8.2,3.46,4.586,G0V SB,0.587,3.098462,0.674227,5.038376,0.00001105,0.00003451,-0.0000015,0.2142198755075235,1.0090653769770737,0.0000052704580027,-0.000002713259763,Eta,24,Cas,1,3814,Gl  34,1.2752637064597296,Eta,3.507,3.457
3820,3829,,,Gl 35,,Van Maanen's Star,0.819416,5.38861,4.2626,1233.05,-2710.56,54.0,12.37,14.222,DG,0.554,4.146957,0.903519,0.400348,0.00005345,0.00003772,-0.00005057,0.21452251445702078,0.09404897880013376,0.0000059779950881,-0.000013141165699,,,Psc,1,3820,,0.0001783199772233,,12.621,12.091
4412,4422,5395,265,,28Ups2Cas,Castula,0.944432,59.181056,61.2745,-92.56,-45.33,-47.0,4.62,0.684,G8III-IV,0.957,30.437701,7.68286,52.6216,-0.00000594,-0.00002986,-0.00004818,0.2472518134940012,1.0329042740471412,-0.0000004487435427,-0.000000219766041,Ups-2,28,Cas,1,4412,,46.38739667560309,,,
4417,4427,5394,264,,27Gam Cas,Cih,0.945143,60.71674,168.3502,25.65,-3.82,-7.0,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-0.00000589,0.0000201,-0.00000777,0.2474379511037043,1.0597070289510324,0.0000001243547091,-0.000000018519882,Gam,27,Cas,1,4417,,3407.218616593573,Gam,2.173,2.133
5044,5054,6434,,GJ 9037,,Nenque,1.077828,-39.488217,41.3736,-168.97,-527.71,22.4,7.72,4.636,G3IV,0.613,30.667693,8.890809,-26.310407,-0.00003822,-0.00004637,-0.00009625,0.2821746680903347,-0.6891994090898889,-0.000000819189676,-0.000002558410273,,,Phe,1,5044,,1.217867384891259,,,
5337,5348,6882,338,,Zet Phe,Wurren,1.139742,-55.24576,91.5751,21.17,29.7,15.0,3.94,-0.869,B6V + B0V,-0.12,49.896436,15.346501,-75.238648,0.00001595,0.00001474,-0.00000509,0.2983838460567415,-0.9642204110904488,0.0000001026350562,0.000000143989663,Zet,,Phe,1,5337,,193.9099078614849,Zet,4.199,3.929
